,e1,e2,time,r
1302,SH600809,SZ000725,2018-01-26 00:00:00,same_industry
5666,SZ000825,SZ002594,2018-01-26 00:00:00,supply
1594,SZ300104,SZ002500,2018-01-26 00:00:00,same_industry
1592,SZ300104,SH601901,2018-01-26 00:00:00,same_industry
11733,SH600036,SZ000157,2018-01-26 00:00:00,reduce_holding
1305,SH600809,SZ300017,2018-01-29 00:00:00,same_industry
3020,SZ300017,SH600809,2018-01-29 00:00:00,same_industry
2331,SH600150,SH600685,2018-01-29 00:00:00,same_industry
3357,SH600685,SH600150,2018-01-29 00:00:00,same_industry
957,SH600519,SH601628,2018-01-30 00:00:00,same_industry
510,SH601628,SH600519,2018-01-30 00:00:00,same_industry
11701,SH601728,SH600362,2018-01-31 00:00:00,reduce_holding
11846,SH600362,SH601728,2018-01-31 00:00:00,reduce_holding
11469,SH601009,SZ002142,2018-01-31 00:00:00,rise
4932,SH601211,SH603338,2018-01-31 00:00:00,increase_holding
4539,SH603338,SH601211,2018-01-31 00:00:00,increase_holding
9779,SH600519,SZ000858,2018-01-31 00:00:00,rise
11391,SZ000858,SH600519,2018-01-31 00:00:00,rise
10950,SZ002142,SH601009,2018-01-31 00:00:00,rise
2167,SH601099,SH600570,2018-02-01 00:00:00,same_industry
8580,SH601238,SH601066,2018-02-01 00:00:00,fall
11826,SH601211,SZ000425,2018-02-01 00:00:00,reduce_holding
2160,SH601099,SH600809,2018-02-01 00:00:00,same_industry
11753,SZ000425,SH601211,2018-02-01 00:00:00,reduce_holding
8148,SH601066,SH601238,2018-02-01 00:00:00,fall
3354,SH600570,SH601099,2018-02-01 00:00:00,same_industry
1304,SH600809,SH601099,2018-02-01 00:00:00,same_industry
4372,SH601066,SH600183,2018-02-01 00:00:00,increase_holding
4845,SH600183,SH601066,2018-02-01 00:00:00,increase_holding
1599,SH601228,SZ000088,2018-02-01 10:18:00,same_industry
1215,SZ000088,SH601228,2018-02-01 10:18:00,same_industry
2259,SZ000977,SH601099,2018-02-02 00:00:00,same_industry
10204,SH601699,SH600348,2018-02-02 00:00:00,rise
2166,SH601099,SZ000977,2018-02-02 00:00:00,same_industry
9951,SH600348,SH601699,2018-02-02 00:00:00,rise
2960,SZ002074,SZ300750,2018-02-02 00:00:00,same_industry
1052,SZ300750,SZ002074,2018-02-02 00:00:00,same_industry
2242,SZ000651,SZ000333,2018-02-03 00:00:00,same_industry
4602,SZ000776,SZ300015,2018-02-03 00:00:00,increase_holding
5001,SZ300015,SZ000776,2018-02-03 00:00:00,increase_holding
3294,SZ000333,SZ000651,2018-02-03 00:00:00,same_industry
5193,SH601066,SZ000961,2018-02-04 21:30:00,supply
5121,SZ000961,SH601066,2018-02-04 21:30:00,supply
7923,SH600918,SH600019,2018-02-05 00:00:00,fall
8688,SH600438,SH601012,2018-02-05 00:00:00,fall
11585,SH600029,SH601111,2018-02-05 00:00:00,rise
8017,SH601012,SH600438,2018-02-05 00:00:00,fall
3246,SH600183,SH601099,2018-02-05 00:00:00,same_industry
8666,SH600019,SH600918,2018-02-05 00:00:00,fall
2178,SH601099,SH600183,2018-02-05 00:00:00,same_industry
8207,SH600519,SH600809,2018-02-05 00:00:00,fall
6082,SZ002465,SH603160,2018-02-05 00:00:00,cooperate
7102,SZ000166,SH600398,2018-02-05 00:00:00,cooperate
6965,SH603160,SZ002465,2018-02-05 00:00:00,cooperate
7640,SH600398,SZ000166,2018-02-05 00:00:00,cooperate
9645,SH601111,SH600029,2018-02-05 00:00:00,rise
8301,SH600809,SH600519,2018-02-05 00:00:00,fall
11693,SH600649,SH601818,2018-02-06 00:00:00,reduce_holding
11684,SH601012,SH601225,2018-02-06 00:00:00,reduce_holding
12292,SH601012,SH601225,2018-02-06 00:00:00,be_reduced_holding
11738,SH601225,SH601012,2018-02-06 00:00:00,reduce_holding
11743,SH601818,SH600649,2018-02-06 00:00:00,reduce_holding
3331,SZ002460,SH603806,2018-02-06 00:00:00,same_industry
9130,SH601318,SZ000333,2018-02-06 00:00:00,fall
12331,SH601225,SH601012,2018-02-06 00:00:00,be_reduced_holding
8866,SZ000333,SH601318,2018-02-06 00:00:00,fall
3347,SH603806,SZ002460,2018-02-06 00:00:00,same_industry
4586,SZ000686,SH600031,2018-02-07 00:00:00,increase_holding
4974,SH600031,SZ000686,2018-02-07 00:00:00,increase_holding
8108,SH601336,SZ000001,2018-02-07 00:00:00,fall
8634,SZ000001,SH601336,2018-02-07 00:00:00,fall
3465,SH600016,SH601818,2018-02-07 20:54:00,same_industry
1502,SH601939,SH601398,2018-02-07 20:54:00,same_industry
1725,SH601818,SH600016,2018-02-07 20:54:00,same_industry
3589,SH601398,SH601939,2018-02-07 20:54:00,same_industry
8447,SH601108,SZ300104,2018-02-09 00:00:00,fall
8379,SZ300104,SH601108,2018-02-09 00:00:00,fall
1777,SH601108,SZ300104,2018-02-09 00:00:00,same_industry
4637,SH601238,SZ300072,2018-02-09 00:00:00,increase_holding
4632,SZ002024,SH600219,2018-02-09 00:00:00,increase_holding
8147,SH601066,SH600606,2018-02-09 00:00:00,fall
3617,SH601398,SH601988,2018-02-09 00:00:00,same_industry
9154,SH600029,SH601088,2018-02-09 00:00:00,fall
4520,SZ300104,SZ300059,2018-02-09 00:00:00,increase_holding
4473,SZ300072,SH601238,2018-02-09 00:00:00,increase_holding
1593,SZ300104,SH601108,2018-02-09 00:00:00,same_industry
11794,SH600219,SZ002024,2018-02-09 00:00:00,reduce_holding
7914,SH600606,SH601066,2018-02-09 00:00:00,fall
25,SH601988,SH601398,2018-02-09 00:00:00,same_industry
11763,SZ002024,SH600219,2018-02-09 00:00:00,reduce_holding
4867,SZ300059,SZ300104,2018-02-09 00:00:00,increase_holding
8003,SH601088,SH600029,2018-02-09 00:00:00,fall
4809,SH600219,SZ002024,2018-02-09 00:00:00,increase_holding
1957,SZ000776,SH600837,2018-02-11 00:00:00,same_industry
2708,SH600837,SZ000776,2018-02-11 00:00:00,same_industry
5175,SH601728,SH601066,2018-02-12 00:00:00,supply
3041,SH600219,SZ002069,2018-02-12 00:00:00,same_industry
11681,SZ000402,SZ000002,2018-02-12 00:00:00,reduce_holding
11678,SZ000002,SZ000402,2018-02-12 00:00:00,reduce_holding
10920,SH600219,SZ002069,2018-02-12 00:00:00,rise
10260,SZ002069,SH600219,2018-02-12 00:00:00,rise
5194,SH601066,SH601728,2018-02-12 00:00:00,supply
1839,SZ002069,SH600219,2018-02-12 00:00:00,same_industry
4639,SH601799,SZ000166,2018-02-13 00:00:00,increase_holding
4698,SZ000166,SH601799,2018-02-13 00:00:00,increase_holding
1685,SH601169,SH601229,2018-02-13 00:00:00,same_industry
2022,SH601229,SH601169,2018-02-13 00:00:00,same_industry
5827,SH600547,SH601899,2018-02-22 00:00:00,cooperate
2104,SZ002024,SH601933,2018-02-22 00:00:00,same_industry
7611,SH601899,SH600547,2018-02-22 00:00:00,cooperate
3337,SZ002460,SZ002466,2018-02-22 00:00:00,same_industry
1671,SH601933,SZ002024,2018-02-22 00:00:00,same_industry
2196,SZ002466,SZ002460,2018-02-22 00:00:00,same_industry
9571,SZ002230,SZ300104,2018-02-23 00:00:00,rise
10099,SZ300104,SZ002230,2018-02-23 00:00:00,rise
1588,SZ300104,SZ300059,2018-02-23 21:44:00,same_industry
4875,SZ300059,SZ300104,2018-02-23 21:44:00,increase_holding
4519,SZ300104,SZ300059,2018-02-23 21:44:00,increase_holding
3427,SZ300059,SZ300104,2018-02-23 21:44:00,same_industry
4242,SZ002008,SH601318,2018-02-26 00:00:00,increase_holding
12017,SH601888,SH600009,2018-02-26 00:00:00,invest
5029,SH601318,SZ002008,2018-02-26 00:00:00,increase_holding
11859,SH600009,SH601888,2018-02-26 00:00:00,invest
9294,SZ002008,SH601318,2018-02-26 00:00:00,rise
4597,SZ000686,SH600009,2018-02-26 00:00:00,increase_holding
11566,SH601318,SZ002008,2018-02-26 00:00:00,rise
6129,SZ002415,SZ002010,2018-02-26 00:00:00,cooperate
4192,SH600009,SZ000686,2018-02-26 00:00:00,increase_holding
6276,SZ002010,SZ002415,2018-02-26 00:00:00,cooperate
4703,SZ000166,SH600352,2018-02-26 00:00:00,increase_holding
4383,SH600352,SZ000166,2018-02-26 00:00:00,increase_holding
795,SZ002415,SZ002236,2018-02-27 00:00:00,same_industry
8444,SZ002508,SZ002304,2018-02-27 00:00:00,fall
3868,SZ002236,SZ002415,2018-02-27 00:00:00,same_industry
