,e1,e2,time
345,SH600058,SH600859,2018-10-01
346,SH600058,SH601933,2018-10-01
347,SH600058,SH600415,2018-10-01
348,SH600058,SH600655,2018-10-01
349,SH600058,SZ002344,2018-10-01
350,SH600058,SH600694,2018-10-01
351,SH600058,SH601888,2018-10-01
352,SH600060,SZ002050,2018-10-01
353,SH600060,SZ002032,2018-10-01
354,SH600060,SZ002242,2018-10-01
355,SH600060,SZ002508,2018-10-01
356,SH600060,SZ000541,2018-10-01
357,SH600060,SZ000651,2018-10-01
358,SH600060,SZ000333,2018-10-01
359,SH600060,SH600690,2018-10-01
360,SH600062,SZ300122,2018-10-01
361,SH600062,SZ300142,2018-10-01
362,SH600062,SH600739,2018-10-01
363,SH600062,SZ002038,2018-10-01
364,SH600062,SH600682,2018-10-01
365,SH600062,SZ000661,2018-10-01
366,SH600062,SH600867,2018-10-01
367,SH600062,SZ002007,2018-10-01
368,SH600062,SH600161,2018-10-01
369,SH600062,SZ002252,2018-10-01
370,SH600062,SZ002411,2018-10-01
371,SH600062,SZ300003,2018-10-01
372,SH600062,SH600535,2018-10-01
373,SH600062,SZ002603,2018-10-01
374,SH600062,SH603858,2018-10-01
375,SH600062,SZ000999,2018-10-01
376,SH600062,SZ002275,2018-10-01
377,SH600062,SH600566,2018-10-01
378,SH600062,SH600332,2018-10-01
379,SH600062,SZ002424,2018-10-01
380,SH600062,SH600085,2018-10-01
381,SH600062,SZ000538,2018-10-01
382,SH600062,SZ000423,2018-10-01
383,SH600062,SH600518,2018-10-01
384,SH600062,SH600436,2018-10-01
385,SH600062,SH600252,2018-10-01
386,SH600062,SZ002044,2018-10-01
387,SH600062,SZ300015,2018-10-01
388,SH600062,SZ300347,2018-10-01
389,SH600062,SH603259,2018-10-01
390,SH600073,SZ000729,2018-10-01
391,SH600073,SH600132,2018-10-01
392,SH600073,SH600600,2018-10-01
393,SH600073,SZ000869,2018-10-01
394,SH600073,SZ002568,2018-10-01
395,SH600073,SH603288,2018-10-01
396,SH600073,SH600873,2018-10-01
397,SH600073,SH600887,2018-10-01
398,SH600073,SH600597,2018-10-01
399,SH600073,SH603156,2018-10-01
400,SH600073,SH600300,2018-10-01
401,SH600073,SH600809,2018-10-01
402,SH600073,SH600519,2018-10-01
403,SH600073,SZ002304,2018-10-01
404,SH600073,SH600779,2018-10-01
405,SH600073,SZ000568,2018-10-01
406,SH600073,SZ000596,2018-10-01
407,SH600073,SZ000858,2018-10-01
408,SH600078,SH603260,2018-10-01
409,SH600078,SH600500,2018-10-01
410,SH600078,SH600352,2018-10-01
411,SH600078,SH600160,2018-10-01
412,SH600078,SH600299,2018-10-01
413,SH600078,SH600596,2018-10-01
414,SH600078,SH600309,2018-10-01
415,SH600078,SH600426,2018-10-01
416,SH600078,SH600989,2018-10-01
417,SH600078,SZ000822,2018-10-01
418,SH600078,SZ002601,2018-10-01
419,SH600078,SH601216,2018-10-01
420,SH600078,SZ002092,2018-10-01
421,SH600078,SH600277,2018-10-01
422,SH600078,SH600143,2018-10-01
423,SH600085,SZ300122,2018-10-01
424,SH600085,SZ300142,2018-10-01
425,SH600085,SH600739,2018-10-01
426,SH600085,SZ002038,2018-10-01
427,SH600085,SH600682,2018-10-01
428,SH600085,SZ000661,2018-10-01
429,SH600085,SH600867,2018-10-01
430,SH600085,SZ002007,2018-10-01
431,SH600085,SH600161,2018-10-01
432,SH600085,SZ002252,2018-10-01
433,SH600085,SH600216,2018-10-01
434,SH600085,SZ002399,2018-10-01
435,SH600085,SZ002001,2018-10-01
436,SH600085,SH600267,2018-10-01
437,SH600085,SH600812,2018-10-01
438,SH600085,SH600276,2018-10-01
439,SH600085,SZ002422,2018-10-01
440,SH600085,SH600196,2018-10-01
441,SH600085,SH600079,2018-10-01
442,SH600085,SZ002773,2018-10-01
443,SH600085,SH600851,2018-10-01
444,SH600085,SZ002653,2018-10-01
445,SH600085,SZ002294,2018-10-01
446,SH600085,SH600380,2018-10-01
447,SH600085,SZ000623,2018-10-01
448,SH600085,SH600521,2018-10-01
449,SH600085,SZ000963,2018-10-01
450,SH600085,SH600200,2018-10-01
451,SH600085,SH600062,2018-10-01
452,SH600085,SH600664,2018-10-01
453,SH600085,SZ002411,2018-10-01
454,SH600085,SZ300003,2018-10-01
455,SH600085,SZ002044,2018-10-01
456,SH600085,SZ300015,2018-10-01
457,SH600085,SZ300347,2018-10-01
458,SH600085,SH603259,2018-10-01
459,SH600088,SH601098,2018-10-01
460,SH600088,SH601928,2018-10-01
461,SH600088,SZ000793,2018-10-01
462,SH600088,SH600373,2018-10-01
463,SH600088,SH601801,2018-10-01
464,SH600088,SZ300251,2018-10-01
465,SH600088,SZ300133,2018-10-01
466,SH600088,SZ300182,2018-10-01
467,SH600088,SZ300027,2018-10-01
468,SH600088,SZ002292,2018-10-01
469,SH600088,SH600977,2018-10-01
470,SH600088,SZ002739,2018-10-01
471,SH600088,SZ002624,2018-10-01
472,SH600088,SZ300002,2018-10-01
473,SH600088,SZ002174,2018-10-01
474,SH600088,SZ002602,2018-10-01
475,SH600088,SH600633,2018-10-01
476,SH600088,SZ002555,2018-10-01
477,SH600088,SZ002558,2018-10-01
478,SH600088,SZ300315,2018-10-01
479,SH600088,SZ300413,2018-10-01
480,SH600088,SH603000,2018-10-01
481,SH600088,SH600037,2018-10-01
482,SH600088,SZ000917,2018-10-01
483,SH600088,SH600959,2018-10-01
484,SH600088,SH601929,2018-10-01
485,SH600088,SZ000156,2018-10-01
486,SH600089,SH600151,2018-10-01
487,SH600089,SH600438,2018-10-01
488,SH600089,SZ002129,2018-10-01
489,SH600089,SH601012,2018-10-01
490,SH600089,SH601727,2018-10-01
491,SH600089,SH600875,2018-10-01
492,SH600089,SZ002202,2018-10-01
493,SH600089,SZ002074,2018-10-01
494,SH600089,SZ000009,2018-10-01
495,SH600089,SH600884,2018-10-01
496,SH600096,SH603260,2018-10-01
497,SH600096,SH600500,2018-10-01
498,SH600096,SH600352,2018-10-01
499,SH600096,SH600160,2018-10-01
500,SH600096,SH600299,2018-10-01
501,SH600096,SH600596,2018-10-01
502,SH600096,SH600309,2018-10-01
503,SH600096,SH600426,2018-10-01
504,SH600096,SH600989,2018-10-01
505,SH600096,SZ000822,2018-10-01
506,SH600096,SZ002601,2018-10-01
507,SH600096,SH601216,2018-10-01
508,SH600096,SZ002092,2018-10-01
509,SH600096,SH600277,2018-10-01
510,SH600096,SH600143,2018-10-01
511,SH600098,SH600333,2018-10-01
512,SH600098,SH600635,2018-10-01
513,SH600098,SH601139,2018-10-01
514,SH600100,SZ300085,2018-10-01
515,SH600100,SZ002405,2018-10-01
516,SH600100,SH600602,2018-10-01
517,SH600100,SH600570,2018-10-01
518,SH600100,SZ002410,2018-10-01
519,SH600100,SH601519,2018-10-01
520,SH600100,SZ300033,2018-10-01
521,SH600100,SZ002153,2018-10-01
522,SH600100,SH600654,2018-10-01
523,SH600100,SZ000503,2018-10-01
524,SH600100,SZ002230,2018-10-01
525,SH600100,SH600588,2018-10-01
526,SH600100,SZ002195,2018-10-01
527,SH600100,SZ000938,2018-10-01
528,SH600100,SH600410,2018-10-01
529,SH600100,SZ002065,2018-10-01
530,SH600100,SZ000555,2018-10-01
531,SH600100,SH600718,2018-10-01
532,SH600100,SH600271,2018-10-01
533,SH600100,SH600797,2018-10-01
534,SH600100,SH600446,2018-10-01
535,SH600100,SZ300168,2018-10-01
536,SH600100,SZ300017,2018-10-01
537,SH600104,SH600297,2018-10-01
538,SH600104,SH600653,2018-10-01
